Libelle_point_arret;A;B;C;D;E;H;J;K;L;N;P;R;U
THUN LE PARADIS;;;;;;;1;;;;;;
SEUGY;;;;;;1;;;;;;;
LE BOURGET T11;;1;;;;;;;;;;;
CITE UNIVERSITAIRE;;1;;;;;;;;;;;
SAINT-GERMAIN EN LAYE GRANDE CEINTURE;;;;;;;;;1;;;;
MONNERVILLE CENTRE;;;1;;;;;;;;;;
BOULAINVILLIERS;;;1;;;;;;;;;;
VILLIERS NEAUPHLE PONTCHARTRAIN;;;;;;;;;;1;;;
NOISIEL;1;;;;;;;;;;;;
LE RAINCY VILLEMONBLE MONTFERMEIL;;;;;1;;;;;;;;
LA FERTE GAUCHER CENTRE;;;;;;;;;;;1;;
HAUSSMANN SAINT-LAZARE;;;;;1;;;;;;;;
LE PARC DE SAINT-MAUR;1;;;;;;;;;;;;
LONGJUMEAU;;;1;;;;;;;;;;
BOURRON MARLOTTE GREZ;;;;;;;;;;;;1;
FONTAINEBLEAU AVON;;;;;;;;;;;;1;
LIZY SUR OURCQ;;;;;;;;;;;1;;
HERBLAY;;;;;;;1;;;;;;
CERGY SAINT-CHRISTOPHE;1;;;;;;;;1;;;;
NOISY LE SEC;;;;;1;;;;;;;;
BREUILLET VILLAGE;;;1;;;;;;;;;;
MUSEE D'ORSAY;;;1;;;;;;;;;;
LA VILLETERTRE;;;;;;;1;;;;;;
NEZEL AULNAY;;;;;;;;;;1;;;
MAREIL MARLY;;;;;;;;;1;;;;
DORDIVES;;;;;;;;;;;;1;
EPLUCHES;;;;;;1;;;;;;;
MOUROUX;;;;;;;;;;;1;;
PARIS NORD (GARE DU NORD);;1;;1;;1;;1;;;;;
JUVISY;;;1;1;;;;;;;;;
LE VAL D'OR;;;;;;;;;1;;;;1
LE VERT DE MAISONS;;;;1;;;;;;;;;
MAISSE;;;;1;;;;;;;;;
ISSOU PORCHEVILLE;;;;;;;1;;;;;;
ORMOY VILLERS;;;;;;;;1;;;;;
LE PERRAY;;;;;;;;;;1;;;
HERICY;;;;;;;;;;;;1;
MAULE;;;;;;;;;;1;;;
PIERRELAYE;;;1;;;1;;;;;;;
AVENUE DU PRESIDENT KENNEDY - Maison de Radio France;;;1;;;;;;;;;;
PARIS MONTPARNASSE (GARE MONTPARNASSE);;;;;;;;;;1;;;
ROSNY SOUS BOIS;;;;;1;;;;;;;;
PONT DE L'ALMA;;;1;;;;;;;;;;
LOZERE;;1;;;;;;;;;;;
ERMONT HALTE;;;;;;1;;;;;;;
LONGUEVILLE;;;;;;;;;;;1;;
PROVINS;;;;;;;;;;;1;;
CERGY LE HAUT;1;;;;;;;;1;;;;
